input ,output,instruction,prompt
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Mahabalipuram. Day 2: Kapaleeshwarar Temple, San Thome Cathedral. Day 3: Guindy National Park, Anna Square. Day 4: Elliot's Beach, Besant Nagar. Day 5: Valluvar Kottam Temple, Thousand Lights Mosque.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Kolkata?,"Luchi, Alur Dum, Cholar Dal, Sandesh.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, St. Paul's Cathedral. Day 2: Howrah Bridge, Kolkata Museum of Modern Art. Day 3: Eden Gardens, Dakshineswar Temple. Day 4: Belur Math, Nandan. Day 5: South Park Street Cemetery, Indian Museum.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Pune?,"Vada Pav, Misal Pav, Modak, Bhaji.","Answer the question truthfully, you are a travel expert.","List popular dishes from Pune, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Shaniwar Wada, Aga Khan Palace. Day 2: Sinhagad Fort, Raja Dinkar Kelkar Museum. Day 3: Empress Botanic Garden, Vetal Hill. Day 4: Rajgad Fort, Tulja Bhavani Temple. Day 5: Pataleshwar Cave Temple, Mulshi Dam.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: What are the popular dishes in Ahmedabad?,"Dhokla, Khandvi, Thepla, Fafda.","Answer the question truthfully, you are a travel expert.","List popular dishes from Ahmedabad, India."
:question: Plan a 5-day itinerary for Ahmedabad. ,"Day 1: Sabarmati Ashram, Adalaj Stepwell. Day 2: Kankaria Lake, Auto World Vintage Car Museum. Day 3: Sardar Vallabhbhai Patel National Memorial, Akshardham Temple. Day 4: Calico Museum of Textiles, Sabarmati Riverfront. Day 5: Teen Darwaza, Manek Chowk.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Ahmedabad, India."
:question: What are the popular dishes in Jaipur?,"Dal Baati Churma, Gatte Ki Sabzi, Rajasthani Kadhi, Bajre Ki Roti.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Jantar Mantar, Amer Fort. Day 3: Nahargarh Fort, Jaigarh Fort. Day 4: Rambagh Palace, Albert Hall Museum. Day 5: Birla Temple, Jal Mahal.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Varanasi?,"Lassi, Kachori, Tikka, Malai Kofta.","Answer the question truthfully, you are a travel expert.","List popular dishes from Varanasi, India."
:question: Plan a 5-day itinerary for Varanasi. ,"Day 1: Vishwanath Temple, Dashashwamedh Ghat. Day 2: Sarnath, Ramnagar Fort. Day 3: Kashi Vishwanath Temple, Godowlia Market. Day 4: Assi Ghat, Tulsi Manas Temple. Day 5: Harishchandra Ghat, Durga Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Varanasi, India."
:question: What are the popular dishes in Bangalore?,"Rava Idli, Vada, Bisibele Bath, Bisi Rava.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bangalore, India."
:question: Plan a 5-day itinerary for Bangalore. ,"Day 1: Cubbon Park, Vidhana Soudha. Day 2: Bannerghatta National Park, Ulsoor Lake. Day 3: Bangalore Palace, Lalbagh Botanical Garden. Day 4: Visvesvaraya Industrial and Technological Museum, Innovative Film City. Day 5: Halasuru Someshwara Temple, Nandi Hills.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bangalore, India."
:question: What are the popular dishes in Chandigarh?,"Chole Bhature, Rajma Chawal, Tandoori Chicken, Soya Chaap.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chandigarh, India."
:question: Plan a 5-day itinerary for Chandigarh. ,"Day 1: Sukhna Lake, Leisure Valley. Day 2: Rock Garden, Pinjore Garden. Day 3: Rose Garden, Terraced Garden. Day 4: International Dolls Museum, Government Museum and Art Gallery. Day 5: Bougainvillea Garden, Open Hand Monument.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chandigarh, India."
:question: What are the popular dishes in Indore?,"Poha Jalebi, Kadhi Pakora, Uttapam, Dal Baati.","Answer the question truthfully, you are a travel expert.","List popular dishes from Indore, India."
:question: Plan a 5-day itinerary for Indore. ,"Day 1: Lal Baag Palace, Rajwada. Day 2: Kanch Mandir, Sarafa Bazaar. Day 3: Pipliyas, Ralamandal Wildlife Sanctuary. Day 4: Chhappan Dukan, Rajghat Memorial. Day 5: Patalpani, Tincha Falls.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Indore, India."
:question: What are the popular dishes in Bhopal?,"Bhutte Ke Kebab, Dal Bafla, Gulab Jamun, Poha.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bhopal, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Dahi Vada, Masala Dosa, Misal Pav.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Bandra Bandstand. Day 3: Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Juhu Beach. Day 4: Haji Ali Dargah, Worli Sea Face. Day 5: Siddhivinayak Temple, Colaba Causeway.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Goa?,"Vindaloo, Xacuti, Pork Vindaloo, Sanna.","Answer the question truthfully, you are a travel expert.","List popular dishes from Goa, India."
:question: Plan a 5-day itinerary for Goa. ,"Day 1: Fort Aguada, Sinquerim Beach. Day 2: Anjuna Beach, Mapusa Market. Day 3: Calangute Beach, Baga Beach. Day 4: Dudhsagar Waterfalls, Molangium. Day 5: Mandrem Beach, Arambol Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Goa, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Kebabs, Nihari.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Hussain Sagar Lake, Lumbini Park. Day 3: Salar Jung Museum, Nehru Zoological Park. Day 4: Birla Mandir, Ramoji Film City. Day 5: Falaknuma Palace, Chilkur Balaji Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Kolkata?,"Luchi, Alur Dom, Macher Jhol, Kathi Roll.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Eden Gardens. Day 3: Indian Museum, South Park Street Cemetery. Day 4: Belur Math, Dakshineswar Temple. Day 5: Prinsep Ghat, Shovabazar Rajbari.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Amritsar?,"Amritsari Kulcha, Chole Bhature, Rajma Chawal, Tandoori Chicken.","Answer the question truthfully, you are a travel expert.","List popular dishes from Amritsar, India."
:question: Plan a 5-day itinerary for Amritsar. ,"Day 1: Golden Temple, Wagah Border. Day 2: Jallianwala Bagh, Partition Museum. Day 3: Durgiana Temple, Maharaja Ranjit Singh Museum. Day 4: Hall Bazaar, Katra Jaimal Singh Market. Day 5: Khair-ud-Din's Library, Summer Palace.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Amritsar, India."
:question: What are the popular dishes in Agra?,"Petha, Chaat, Dal Makhani, Biryani.","Answer the question truthfully, you are a travel expert.","List popular dishes from Agra, India."
:question: Plan a 5-day itinerary for Agra. ,"Day 1: Taj Mahal, Agra Fort. Day 2: Mehtab Bagh, Tomb of Itimad-ud-Daulah. Day 3: Fatehpur Sikri, Panch Mahal. Day 4: Sikandra Fort, Dayal Bagh Temple. Day 5: Mariam's Tomb, Tomb of Jodha Bai.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Agra, India."
:question: What are the popular dishes in Pune?,"Misal Pav, Vada Pav, Uttapam, Modak.","Answer the question truthfully, you are a travel expert.","List popular dishes from Pune, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Shaniwar Wada, Aga Khan Palace. Day 2: Sinhagad Fort, Pataleshwar Cave Temple. Day 3: Osho Ashram, Dagdusheth Halwai Temple. Day 4: Empress Botanic Garden, Vishrambag Temple. Day 5: Raja Dinkar Kelkar Museum, Rashtriya Military School.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: What are the popular dishes in Jaipur?,"Dal Baati Churma, Gatte Ki Sabzi, Rajasthani Kadhi, Bajre Ki Roti.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Jantar Mantar, Amer Fort. Day 3: Nahargarh Fort, Jaigarh Fort. Day 4: Rambagh Palace, Albert Hall Museum. Day 5: Birla Temple, Jal Mahal.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Chennai?,"Idli, Dosa, Vada, Sambar.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Fort St. George. Day 2: Mahabalipuram, Kapaleeswarar Temple. Day 3: Guindy National Park, Dakshina Chitra. Day 4: Vadapalani Murugan Temple, Theosophical Society. Day 5: Chennai Airport, San Thome Cathedral.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Ludhiana?,"Makki Di Roti, Sarson Da Saag, Tandoori Chicken, Lassi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Ludhiana, India."
:question: What are the popular dishes in Kolkata?,"Luchi, Alur Dom, Fish Fry, Rasgulla.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, St. Paul's Cathedral. Day 2: Howrah Bridge, Eden Gardens. Day 3: Indian Museum, Dakshineswar Temple. Day 4: Belur Math, South Park Street Cemetery. Day 5: Birla Mandir, Millennium Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Cochin?,"Puttu, Appam, Biriyani, Kuzhi Paniyaram.","Answer the question truthfully, you are a travel expert.","List popular dishes from Cochin, India."
:question: Plan a 5-day itinerary for Cochin. ,"Day 1: Fort Kochi, St. Francis Church. Day 2: Chinese Fishing Nets, Mattancherry Palace. Day 3: Jewish Synagogue, Jew Town. Day 4: Willingdon Island, Marine Drive. Day 5: Bolgatty Palace, Kodungallur Bharani.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Cochin, India."
:question: What are the popular dishes in Thiruvananthapuram?,"Puttu, Idli, Sadya, Appam.","Answer the question truthfully, you are a travel expert.","List popular dishes from Thiruvananthapuram, India."
:question: Plan a 5-day itinerary for Thiruvananthapuram. ,"Day 1: Padmanabhaswamy Temple, Shangumugham Beach. Day 2: Vellayani Lake, Napier Museum. Day 3: Veli Tourist Village, Kuthiramalika Palace. Day 4: Kovalam Beach, Vizhinjam Lighthouse. Day 5: Meenmutty Waterfall, Anchuthengu Fort.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Thiruvananthapuram, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Osmania Biscuits, Mirchi Ka Salan.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Golkonda Fort, Nehru Zoological Park. Day 3: Salar Jung Museum, Ramoji Film City. Day 4: Birla Mandir, Hussain Sagar Lake. Day 5: Chilkur Balaji Temple, Qutub Shahi Tombs.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Pav Bhaji, Samosa, Misal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Juhu Beach. Day 3: Haji Ali Dargah, Bandra-Worli Sea Link. Day 4: Siddhivinayak Temple, Chhatrapati Shivaji Terminus. Day 5: Sanjay Gandhi National Park, Powai Lake.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Varanasi?,"Lassi, Kachori, Chaat, Bhelpuri.","Answer the question truthfully, you are a travel expert.","List popular dishes from Varanasi, India."
:question: Plan a 5-day itinerary for Varanasi. ,"Day 1: Dashashwamedh Ghat, Manikarnika Ghat. Day 2: Vishwanath Temple, Sankat Mochan Hanuman Temple. Day 3: Ramnagar Fort, Bharat Mata Temple. Day 4: Sarnath, Mulgandha Kuti Vihar. Day 5: Durga Temple, New Vishwanath Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Varanasi, India."
:question: What are the popular dishes in Kochi?,"Puttu, Appam, Biriyani, Kuzhi Paniyaram.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kochi, India."
:question: Plan a 5-day itinerary for Kochi. ,"Day 1: Fort Kochi, St. Francis Church. Day 2: Chinese Fishing Nets, Mattancherry Palace. Day 3: Jewish Synagogue, Jew Town. Day 4: Willingdon Island, Marine Drive. Day 5: Bolgatty Palace, Kodungallur Bharani.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kochi, India."
:question: What are the popular dishes in Bhubaneswar?,"Dahi Vada, Rasgulla, Chakuli Pitha, Aloo Dum.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bhubaneswar, India."
:question: Plan a 5-day itinerary for Bhubaneswar. ,"Day 1: Lingaraj Temple, Mukteswara Temple. Day 2: Dhauli Peace Pagoda, Odisha State Museum. Day 3: Rajarani Temple, Parasurameswar Temple. Day 4: Mukteswara Temple, Brahmeswar Temple. Day 5: Dhauli Hill, Ratnagiri Jain Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhubaneswar, India."
:question: What are the popular dishes in Ujjain?,"Poha, Bhutte Ka Kees, Rajma Chawal, Gajak.","Answer the question truthfully, you are a travel expert.","List popular dishes from Ujjain, India."
:question: Plan a 5-day itinerary for Ujjain. ,"Day 1: Mahakaleshwar Temple, Harsiddhi Temple. Day 2: Ram Mandir, Jain Temple. Day 3: Kaliadeh Fort, Bhaikundi Temple. Day 4: Sandipani Ashram, Bade Ganeshji Ka Mandir. Day 5: Bimba Sagar Lake, Mangalnath Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Ujjain, India."
:question: What are the popular dishes in Amritsar?,"Amritsari Kulcha, Chole Bhature, Rajma Chawal, Tandoori Chicken.","Answer the question truthfully, you are a travel expert.","List popular dishes from Amritsar, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Hyderabadi Marghi, Nizam's Sheer Khurma.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Golkonda Fort, Hussain Sagar. Day 3: Salar Jung Museum, Nehru Zoological Park. Day 4: Ramoji Film City, Birla Mandir. Day 5: Falaknuma Palace, Chilkur Balaji Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
